position,effective_radiation_temperature,epsilon_effective,spectral_radiance,flowgofluxradiationheat,flowgofluxconductionheat,characteristic_surface_temperature,effective_temperature_snyder,flowgofluxsnyderheat,flowgofluxforcedconvectionheat,heat_budget,channel_width,crystal_fraction,core_temperature,strain_rate,vesicle_fraction,viscosity,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
0.0,776.9782926523226,0.95,0.5218894420704695,78523.9608450917,11550.457673043778,775.9895377127852,0,0,16856.54320598856,106930.96172412405,4.0,0.1,1303.15,3.065167834396773,0.5,2368.6221516481874,1485.0,1.3098483878988867,773.15,0.9901464140463132,3.062950148187518e-05,-0.00225619095737027,0.013575757575757576,0.1773160852982096,0.40007159680524346,6.716902533145485,1.281999999999999,9.185172834459616,7274.002183000454
10.0,776.2019997837899,0.95,0.5261258236360082,86954.30046565531,12841.214061626397,775.5768021255342,0,0,18725.029101501477,118520.54362878318,4.44718680221185,0.10030629501481876,1303.1274380904265,2.756949928770506,0.5,2373.171667752867,1485.0,1.1781366028945952,773.15,0.9911328345486944,3.3949242653182584e-05,-0.002500725463292467,0.013575757575757576,0.17677177212572398,0.35871566458969983,6.716902533145485,1.281999999999999,9.265555764845262,6556.613784766939
20.0,775.3820765870687,0.95,0.5317046912345778,98128.87396226513,14552.155957009289,775.142108113145,0,0,21201.80073823543,133882.83065750985,5.039960350628254,0.10064578744135058,1303.1024308357935,2.4326920222812354,0.5,2378.226649681908,1485.0,1.039570390854847,773.15,0.9921716502350567,3.834964442386281e-05,-0.0028248622008648946,0.013575757575757576,0.17619858613585213,0.3157546319098492,6.716902533145485,1.281999999999999,9.355183010272402,5799.525760201777
30.0,776.0824906009491,0.95,0.5265540942434047,88400.30972470544,13061.487872139367,775.5136430078188,0,0,19045.65218721969,120507.44978406449,4.523926925421443,0.10102928388558921,1303.0741822137848,2.7101833295958695,0.5,2383.952538710757,1485.0,1.158151676180634,773.15,0.9912825922025461,3.451837570918694e-05,-0.002542648210721359,0.013575757575757576,0.1766863372310779,0.35406032680795696,6.716902533145485,1.281999999999999,9.457102369820413,6475.134072429732
40.0,775.6075827389237,0.95,0.5296597584615814,94749.12707314697,14033.196285526252,775.2618545822019,0,0,20452.852189639427,129235.17554831265,4.8607173545177895,0.10137446764268108,1303.0487557316776,2.522399564375292,0.5,2389.1206749096086,1485.0,1.0779054138430404,773.15,0.9918841478799654,3.701836154041069e-05,-0.002726798952753466,0.013575757575757576,0.1763538812180696,0.3293672280061402,6.716902533145485,1.281999999999999,9.549453705497005,6040.641118257523
50.0,775.9396733672654,0.95,0.5271658648511099,90199.10168707883,13335.75475965979,775.4381281129287,0,0,19444.464639928196,122979.32108666681,4.619380295194438,0.1017446512580852,1303.0214877421502,2.6541809840471298,0.5,2394.6782011618243,1485.0,1.1342200071828057,773.15,0.9914619546619035,3.522642307456457e-05,-0.002594803485403194,0.013575757575757576,0.1765846816711188,0.3480871137682042,6.716902533145485,1.281999999999999,9.649142092341714,6370.383046505499
60.0,776.6269353719723,0.95,0.5228177470917023,82072.67543951907,12090.791888947288,775.8034648722588,0,0,17643.439832109027,111806.90716057539,4.188341945430222,0.10209691548883085,1302.995539707296,2.9273329392229672,0.5,2399.9812531188895,1485.0,1.2509469426946136,773.15,0.9905874194016683,3.202617626683257e-05,-0.002359071019655078,0.013575757575757576,0.17706436077821905,0.3865155730489973,6.716902533145485,1.281999999999999,9.744629988692449,7040.161111420867
70.0,776.28309702455,0.95,0.5246735286896294,85929.84141093338,12680.900786350729,775.6207803304167,0,0,18498.37352205147,117109.11571933559,4.39295573073813,0.10241717725149917,1302.9719489970996,2.7909844963375003,0.5,2404.814884714382,1485.0,1.1926807081015574,773.15,0.9910238620796915,3.354495064507814e-05,-0.002470945025195488,0.013575757575757576,0.17682290773981052,0.36845126275670204,6.716902533145485,1.281999999999999,9.831973585537988,6726.549009674943
80.0,775.9883337366801,0.95,0.5263874986047862,89542.36500214865,13233.482622893804,775.4643660198219,0,0,19299.098708694306,122074.94633373676,4.584596603016537,0.10275262675794995,1302.9472395468476,2.6743184622873724,0.5,2409.8903927573083,1485.0,1.1428254228841361,773.15,0.9913974552764169,3.496737230584047e-05,-0.0025757216207427133,0.013575757575757576,0.17661600902742625,0.353179427983784,6.716902533145485,1.281999999999999,9.924002627854195,6459.700361670297
90.0,774.072182250015,0.95,0.5435037078722255,123589.75750682832,18445.98632199629,774.4508305777626,0,0,26845.548774251547,168881.29260307614,6.390722704277077,0.10310230048100835,1302.9214823306402,1.9185109266877551,0.5,2415.194941448318,1485.0,0.8198436693379001,773.15,0.9938211499523977,4.8374668277952305e-05,-0.003563312618688451,0.013575757575757576,0.17528155753821487,0.2515529879098835,6.716902533145485,1.281999999999999,10.02052746894165,4648.608653172318
100.0,774.6030658171711,0.95,0.5373293498248293,111751.43253087651,16632.299045003445,774.731126480673,0,0,24221.707101752225,152605.4386776322,5.762747468410119,0.10358604716378787,1302.8858492044533,2.1275739401729648,0.5,2422.556718699864,1485.0,0.9091832637672461,773.15,0.9931501424863388,4.3712582723963495e-05,-0.0032199000667205253,0.013575757575757576,0.17564875509992045,0.2804561940072131,6.716902533145485,1.281999999999999,10.155064073762073,5169.40111981275
110.0,776.9278437205006,0.95,0.5203373590469419,78920.84508946589,11605.359984574225,775.9645441812947,0,0,16945.264964747068,107471.47003878719,4.021261524773503,0.10402317299102751,1302.8536502037862,3.0489614420881703,0.5,2429.2324041690003,1485.0,1.3029228562523436,773.15,0.9901982565183184,3.07843256783287e-05,-0.002267595418269748,0.013575757575757576,0.17727011395180486,0.4086943941534501,6.716902533145485,1.281999999999999,10.277638625362028,7422.052382266709
120.0,778.0675063904224,0.95,0.5150172189773576,69058.2903553758,10095.265594344166,776.5731075406078,0,0,14759.551153614062,93913.10710333401,3.4981630123327108,0.1043310162478108,1302.8309742496035,3.5048885070142006,0.5,2433.947094755153,1485.0,1.497755688664067,773.15,0.9887408312589273,2.690064324503423e-05,-0.0019815205961743964,0.013575757575757576,0.17807002470751296,0.4753019552376151,6.716902533145485,1.281999999999999,10.364534856914709,8546.259993751342
130.0,777.7025970158654,0.95,0.5164163968740159,71922.66280898658,10533.34613086916,776.378161070511,0,0,15394.402379210342,97850.41131906609,3.6501011278042483,0.10460002268026114,1302.8111590436417,3.3589949725482295,0.5,2438.0760709877873,1485.0,1.4354105182689423,773.15,0.9892069638112536,2.8028451911166816e-05,-0.0020645957880993412,0.013575757575757576,0.17781255061269302,0.45486621335050226,6.716902533145485,1.281999999999999,10.44085780391671,8205.146543391093
